Sample1.tsv	Sample2.tsv	Sample3.tsv	Mean_RT	SD_RT	Name	Metabolite	HMDB	KEGG	PubChem	ChEBI	METLIN
4.27	4.28	4.33	4.29333333333333	0.0321455025366433	Tris(trimethylsilyl)borate		-	-	-	-	-
4.85	4.86	4.89	4.86666666666667	0.0208166599946612	Pyridine	Pyridine	HMDB0000926	C00747	1049	16227	5877
5.11	5.12	5.16	5.13	0.0264575131106458	Acetamide	Acetamide	HMDB0031645	C06244	178	27856	-
5.23	5.23		5.23	0	Hexanoic acid	Caproic acid	HMDB0000535	C01585	8892	30776	5520
5.82		5.83	5.825	0.00707106781186532	Tris(trimethylsilyl)hydroxylamine		-	-	-	-	-
	5.83		5.83		2,2,5,5-Tetramethyl-4-ethyl-3-imidazoline-1-oxyl		-	-	-	-	-
;	5.45;7.16	5.49;	6.03333333333333	0.975926909831537	L-Valine	L-Valine	HMDB0000883	C00183	6287	16414	5842
6.12	6.12	6.15	6.13	0.0173205080756889	EIQTMS_N12C_NID1_1139.3_1267BK12_[NA]		-	-	-	-	-
		6.31	6.31		l-Leucine	L-Leucine	HMDB0000687	C00123	6106	15603	24
6.56	6.56		6.56	0	Pentasiloxane		-	-	-	-	-
		6.58	6.58		EITTMS_N12C_ATHR_1234.3_1135EC44_		-	-	-	-	-
7.06		7.08	7.07	0.0141421356237313	EITTMS_N12C_ATHR_1436.4_1135EC44_		-	-	-	-	-
7.42	7.41		7.415	0.00707106781186532	Urea	Urea	HMDB0000294	C00086	1176	16199	6
		7.43	7.43		Silanamine		-	-	-	-	-
	7.54	7.56	7.55	0.0141421356237306	3,6,9-Trioxa-2,10-disilaundecane		-	-	-	-	-
7.57			7.57		Carbamic acid,(trimethylsilyl)[(trimethylsilyl)oxy] trimethylsilyl ester		-	-	-	-	-
;5.65	10.79;5.63	10.79;5.69	7.71	2.81172544890144	Alanine	L-Alanine	HMDB0000161	C00041	5950	16977	-
7.79			7.79		Octanoic acid	Caprylic acid	HMDB0000482	C06423	379	28837	5469
8.08	8.09	8.09	8.08666666666667	0.00577350269189613	Glycerol	Glycerol	HMDB0000131	C00116	753	17754	105
	8.39		8.39		L-Isoleucine	L-Isoleucine	HMDB0000172	C00407	6306	17191	5193
	8.65	8.65	8.65	0	Succinic acid	Succinic acid	HMDB0000254	C00042	1110	15741	114
8.75			8.75		Cyclohexasiloxane		-	-	-	-	-
;9.59	7.77;9.59	7.79;9.59	8.866	0.991403046192617	L-Serine	L-Serine	HMDB0000187	C00065	5951	17115	5203
9.1	9.1	9.11	9.10333333333333	0.00577350269189613	EITTMS_N12C_ATHR_1358.9_1135EC06_		-	-	-	-	-
9.42	9.41	9.42	9.41666666666667	0.00577350269189613	5-Keto-2,2-dimethylheptanoic acid		-	-	-	-	-
;10.1	;10.1	8.4;10.11	9.6775	0.851679712881159	l-Threonine	L-Threonine	HMDB0000167	C00188	6288	16857	32
8.63;11.46	;	;	10.045	2.00111219075793	Glycine	Glycine	HMDB0000123	C00037	750	15428	20
		10.39	10.39		l-Methionine	L-Methionine	HMDB0000696	C00073	6137	16643	5664
		10.54	10.54		Tris(hydroxymethyl)aminomethane	2-Amino-2-methylol-propane-1,3-diol	HMDB0240288	C07182	6503	9754	-
	10.66	10.67	10.665	0.00707106781186532	l-Aspartic acid	L-Aspartic acid	HMDB0000191	C00049	5960	17053	5206
10.79			10.79		beta-Alanine	Beta-Alanine	HMDB0000056	C00099	239	16958	5119
8.45;	;	;13.88	11.165	3.83958982184295	L-Proline	L-Proline	HMDB0000162	C00148	145742	17203	29
	11.46		11.46		1H-Indole-2,3-dione	1H-Indole-2,3-dione	HMDB0061933	C11129	7054	27539	-
		11.46	11.46		L-(+)-Threose		-	-	-	-	-
	11.78	11.78	11.78	0	EITTMS_N12C_ATHR_1479.3_1135EC44_		-	-	-	-	-
12.07	12.07	12.07	12.07	0	Malic acid	Malic acid	HMDB0000744	C03668	525	6650	118
12.25	12.25	12.25	12.25	0	3,6,9,12-Tetraoxa-2,13-disilatetradecane		-	-	-	-	-
12.39	12.38	12.39	12.3866666666667	0.00577350269189613	Trimethylsilyl)methyl octanoate		-	-	-	-	-
12.66	12.66		12.66	0	Pyroglutamic acid	Pyroglutamic acid	HMDB0000267	C01879	7405	18183	3251
		12.79	12.79		N-Acetylglutamic acid	N-Acetylglutamic acid	-	-	70914	-	-
		13.55	13.55		Propanoic acid	Propionic acid	HMDB0000237	C00163	1032	30768	3215
13.71	13.71	13.71	13.71	0	Threonic acid	Threonic acid	HMDB0000943	C01620	151152	49059	5891
14.74	14.74	14.74	14.74	0	L-Glutamic acid	L-Glutamic acid	HMDB0000148	C00025	33032	16015	5174
15.15	15.14	15.15	15.1466666666667	0.00577350269189613	Dodecanoic acid	Dodecanoic acid	HMDB0000638	C02679	3893	30805	5611
		15.55	15.55		Silane		-	-	-	-	-
15.81	15.8	15.8	15.8033333333333	0.00577350269189613	L-Asparagine	L-Asparagine	HMDB0000168	C00152	6267	17196	14
16.26	16.26	16.25	16.2566666666667	0.00577350269189716	Ribose methoxyamine		-	-	-	-	-
		16.45	16.45		D-(-)-Tagatose		-	-	-	-	-
16.65			16.65		2-[1-[2-(tert-Butyl-dimethyl-siloxylmethyl]-pyrrolidino]ethyl]-5-phenyl-[1,3,4]oxadiazole		-	-	-	-	-
16.82			16.82		2-Ketogluconic acid methoxyamine 		-	-	-	-	-
;17.14	16.89;17.14	16.89;17.15	17.042	0.138816425541072	Xylitol	Xylitol	HMDB0002917	C00379	6912	17151	-
17.36		17.36	17.36	0	2-Keto-L-gulonic acid methoxyamine		-	-	-	-	-
17.58			17.58		5,8,11,14-Eicosatetraynoic acid		-	-	-	-	-
17.88	17.87	17.87	17.8733333333333	0.00577350269189511	L-Glutamine	L-Glutamine	HMDB0000641	C00064	5961	18050	5614
		17.99	17.99		EITTMS_N12C_STUO_1953.9_1135EC31_G		-	-	-	-	-
		18.08	18.08		2-Keto-L-gluconic acid	2-Keto-L-gluconate	HMDB0011732	C15673	50	88378	-
;21.66	16.65;	16.65;	18.32	2.89252484864003	Pentitol	Ribitol	HMDB0000508	C00474	-	15963	316
19.02	19.01		19.015	0.00707106781186407	Citric acid	Citric acid	HMDB0000094	C00158	311	30769	124
		19.11	19.11		Tetradecanoic acid	Myristic acid	HMDB0000806	C06424	11005	28875	196
19.37		19.36	19.365	0.00707106781186658	N-Acetyl glucosamine methoxime		-	-	-	-	-
	19.37		19.37		D-Ribo-Hexitol		-	-	-	-	-
;	19.53;	19.53;20.04	19.7	0.294448637286708	L(+)-Ascorbic acid 		-	-	-	-	-
	20.28	20.29	20.285	0.00707106781186407	Fructose methoxyamine		-	-	-	-	-
20.3			20.3		Sorbose methoxyamine 		-	-	-	-	-
20.61			20.61		Lactose methoxyamine		-	-	-	-	-
	20.66		20.66		Galactose methoxyamine		-	-	-	-	-
20.79	20.79		20.79	0	d-Glucose	D-Glucose	HMDB0000122	C00031	5793	4167	133
;23.99;24.2	17.57;;	17.57;;	20.8325	3.76818590305733	D-Glucopyranoside	D-Glucopyranoside	HMDB0062170	C00718	53477771	28102	6917
;	;	20.79;21.06	20.925	0.190918830920368	d-Galactose	D-Galactose	-	C00124	3424	4139	-
21.09			21.09		Glucose methoxyamine		-	-	-	-	-
	21.13		21.13		Glucose methoxyamine 		-	-	-	-	-
21.56	21.42	21.41	21.4633333333333	0.0838649708360596	D-Mannitol	Mannitol	HMDB0000765	C00392	6251	16899	142
		22.09	22.09		10,12-Docosadiynedioic acid ditms		-	-	-	-	-
	22.25		22.25		EITTMS_N12C_STUL_2254.2_1135EC28_G		-	-	-	-	-
22.37			22.37		EITTMS_N12C_STUF_1968.0_1135EC32_G		-	-	-	-	-
		22.76	22.76		7-(Trimethylsilyl)-2,6-bis[(trimethylsilyl)oxy]-7H-purine		-	-	-	-	-
22.89	22.89	22.9	22.8933333333333	0.00577350269189511	Hexadecanoic acid	Palmitic acid	HMDB0000220	C00249	985	15756	187
23.29		23.29	23.29	0	EITTMS_N12C_ATHR_2027.2_1135EC44_		-	-	-	-	-
	23.47	23.48	23.475	0.00707106781186658	Oleanitrile		-	-	-	-	-
;22.26;31.62	18.14;;	;22.26;	23.57	5.70729357927205	D-Galactopyranoside		-	-	-	-	-
23.71			23.71		Allantoin	Allantoin	-	-	439714	-	-
		23.98	23.98		D-Glucopyranosiduronic acid		-	-	-	-	-
24.44		24.44	24.44	0	Uric acid	Uric acid	HMDB0000289	C00366	1175	17775	88
	24.63	24.64	24.635	0.00707106781186658	N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine		-	-	-	-	-
24.66			24.66		Heptadecanoic acid	Heptadecanoic acid	HMDB0002259	-	10465	32365	6578
		25.72	25.72		D-(-)-Fructofuranose		-	-	-	-	-
	25.72		25.72		D-Psicofuranose		-	-	-	-	-
25.94	25.94	25.94	25.94	0	trans-9-Octadecenoic acid	Elaidic acid	HMDB0000573	C01712	637517	27997	3406
26.37	26.37	26.37	26.37	0	Octadecanoic acid	Stearic acid	HMDB0000827	C01530	5281	28842	189
;	28.6;24.34	28.61;24.34	26.4725	2.46240228232513	D-Myo-Inositol	myo-Inositol	HMDB0000211	C00137	-	17268	5221
27.42;27.74	27.42;27.74	27.43;27.75	27.5833333333333	0.175347274477439	Galactosylglycerol	Galactosylglycerol	HMDB0006790	C05401	656504	15754	-
	27.85		27.85		Glucose-6-phosphate methoxyamine		-	-	-	-	-
28.01			28.01		Galactose-6-phosphate methoxyamine		-	-	-	-	-
28.19	28.19	28.2	28.1933333333333	0.00577350269189511	Oleamide	Oleamide	HMDB0002117	C19670	5283387	116314	-
28.41			28.41		D-Galactopyranose		-	-	-	-	-
27.64;29.16;30.02	27.63;;30.02	;;30.02	29.0816666666667	1.16904091744757	Sucrose	Sucrose	HMDB0000258	C00089	5988	17992	137
		29.17	29.17		Diisooctyl phthalate		-	-	-	-	-
;	29.16;31.07	;	30.115	1.35057395206631	Contamination		-	-	-	-	-
31.07			31.07		4_-Methylandrostane2,3-diol-1,17-dione		-	-	-	-	-
