Compound	Sample1.tsv	Sample2.tsv	Sample3.tsv	Mean_RT	SD_RT	Name	Metabolite	HMDB	KEGG	PubChem	ChEBI	METLIN
Tris(trimethylsilyl)borate	4.27	4.28	4.33	4.29333333333333	0.0321455025366433	Tris(trimethylsilyl)borate		-	-	-	-	-
Pyridine, 3-trimethylsiloxy-	4.85	4.86	4.89	4.86666666666667	0.0208166599946612	Pyridine	Pyridine	HMDB0000926	C00747	1049	16227	5877
Acetamide, 2,2,2-trifluoro-N-methyl-N-(trimethylsilyl)-	5.11	5.12	5.16	5.13	0.0264575131106458	Acetamide	Acetamide	HMDB0031645	C06244	178	27856	-
Hexanoic acid, trimethylsilyl ester	5.23	5.23		5.23	0	Hexanoic acid	Caproic acid	HMDB0000535	C01585	8892	30776	5520
L-Valine, trimethylsilyl ester		5.45	5.49	5.47	0.0282842712474619	L-Valine	L-Valine	HMDB0000883	C00183	6287	16414	5842
EIQTMS_N12C_ATHL_1091.7_3161BN26_L-Alanine (2TMS)		5.63		5.63		L-Alanine	L-Alanine	HMDB0000161	C00041	5950	16977	-
EIQTMS_N12C_LJALD_1099.5_2236BG34_L-Alanine (2TMS)	5.65		5.69	5.67	0.0282842712474619	L-Alanine	L-Alanine	HMDB0000161	C00041	5950	16977	-
Tris(trimethylsilyl)hydroxylamine	5.82		5.83	5.825	0.00707106781186532	Tris(trimethylsilyl)hydroxylamine		-	-	-	-	-
2,2,5,5-Tetramethyl-4-ethyl-3-imidazoline-1-oxyl		5.83		5.83		2,2,5,5-Tetramethyl-4-ethyl-3-imidazoline-1-oxyl		-	-	-	-	-
EIQTMS_N12C_NID1_1139.3_1267BK12_[NA]	6.12	6.12	6.15	6.13	0.0173205080756889	EIQTMS_N12C_NID1_1139.3_1267BK12_[NA]		-	-	-	-	-
l-Leucine, trimethylsilyl ester			6.31	6.31		l-Leucine	L-Leucine	HMDB0000687	C00123	6106	15603	24
Pentasiloxane, dodecamethyl-	6.56	6.56		6.56	0	Pentasiloxane		-	-	-	-	-
EITTMS_N12C_ATHR_1234.3_1135EC44_			6.58	6.58		EITTMS_N12C_ATHR_1234.3_1135EC44_		-	-	-	-	-
EITTMS_N12C_ATHR_1436.4_1135EC44_	7.06		7.08	7.07	0.0141421356237313	EITTMS_N12C_ATHR_1436.4_1135EC44_		-	-	-	-	-
EIQTMS_N12C_LJAF_1222.5_2236BN50_L-Valine (2TMS)		7.16		7.16		L-Valine	L-Valine	HMDB0000883	C00183	6287	16414	5842
EITTMS_N12C_ATHR_1269.8_1135EC44_Urea (2TMS)		7.41		7.41		Urea	Urea	HMDB0000294	C00086	1176	16199	6
EIQTMS_N12C_SD1_1256.5_3035BB03_Urea (2TMS)	7.42			7.42		Urea	Urea	HMDB0000294	C00086	1176	16199	6
Silanamine, 1,1,1-trimethyl-N-(trimethylsilyl)-N-[2-[(trimethylsilyl)oxy]ethyl]-			7.43	7.43		Silanamine		-	-	-	-	-
3,6,9-Trioxa-2,10-disilaundecane, 2,2,10,10-tetramethyl-		7.54	7.56	7.55	0.0141421356237306	3,6,9-Trioxa-2,10-disilaundecane		-	-	-	-	-
Carbamic acid,(trimethylsilyl)[(trimethylsilyl)oxy] trimethylsilyl ester	7.57			7.57		Carbamic acid,(trimethylsilyl)[(trimethylsilyl)oxy] trimethylsilyl ester		-	-	-	-	-
EITTMS_N12C_SD2_1281.1_1179EK05_L-Serine (2TMS)		7.77		7.77		L-Serine	L-Serine	HMDB0000187	C00065	5951	17115	5203
EITTMS_N12C_SD1_1280.9_1164EK04_L-Serine (2TMS)			7.79	7.79		L-Serine	L-Serine	HMDB0000187	C00065	5951	17115	5203
Octanoic acid, trimethylsilyl ester	7.79			7.79		Octanoic acid	Caprylic acid	HMDB0000482	C06423	379	28837	5469
EIQTMS_N12C_LJARL_1284.6_2236BN14_Glycerol (3TMS)	8.08	8.09	8.09	8.08666666666667	0.00577350269189613	Glycerol	Glycerol	HMDB0000131	C00116	753	17754	105
EITTMS_N12C_SD2_1312.8_1179EK07_L-Isoleucine (2TMS)		8.39		8.39		L-Isoleucine	L-Isoleucine	HMDB0000172	C00407	6306	17191	5193
l-Threonine, O-(trimethylsilyl)-, trimethylsilyl ester			8.4	8.4		l-Threonine	L-Threonine	HMDB0000167	C00188	6288	16857	32
EIQTMS_N12C_LJALM_1304.1_2236BN40_L-Proline (2TMS)	8.45			8.45		L-Proline	L-Proline	HMDB0000162	C00148	145742	17203	29
EIQTMS_N12C_ATHL_1310.2_3161BN21_Glycine (3TMS)	8.63			8.63		Glycine	Glycine	HMDB0000123	C00037	750	15428	20
