[Header]
Data File Name	C:\GCMSsolution\Data\Project1\240220\240220\35-3.cdf
Output Date	4/9/2020
Output Time	2:51:39 PM

[MC Peak Table]
# of Peaks	17
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
1	2.785	2.744	2.805	TIC	434481772	192740930	2.25	8.32	   	3-Hexanone	
2	2.822	2.805	2.834	TIC	271249415	193383626	1.40	5.19	 V 	3-Hexanone	
3	2.899	2.834	2.912	TIC	1025199985	234874038	4.36	19.63	 V 	3-Hexanone	
4	2.939	2.912	2.959	TIC	670542531	245475818	2.73	12.84	 V 	Propanoic acid, 2-methyl-, anhydride	
5	2.964	2.959	3.017	TIC	434704788	250194762	1.74	8.32	 V 	Heptane	
6	3.031	3.017	3.060	TIC	37234901	38996804	0.95	0.71	   	Heptane, 3-methyl-	
7	3.259	3.231	3.289	TIC	390035125	317948454	1.23	7.47	   	Hexane, 2,3,3-trimethyl-	
8	3.298	3.289	3.316	TIC	2448255	2909554	0.84	0.05	 V 	Hydrazine	
9	4.375	4.345	4.406	TIC	32133304	28139948	1.14	0.62	   	Nonane	
10	16.052	16.012	16.113	TIC	37639798	13381241	2.81	0.72	   	Tridecanoic acid, 12-methyl-, methyl ester	
11	18.419	18.326	18.506	TIC	716068630	225695788	3.17	13.71	   	Pentadecanoic acid, methyl ester	
12	19.905	19.857	19.962	TIC	27434437	8906695	3.08	0.53	   	5,8,11,14,17-Eicosapentaenoic acid, methyl ester, (all-Z)-	
13	20.356	20.281	20.423	TIC	325403414	101094737	3.22	6.23	   	Methyl hexadec-9-enoate	
14	20.877	20.805	20.965	TIC	183398647	55415957	3.31	3.51	   	Hexadecanoic acid, methyl ester	
15	24.678	24.619	24.767	TIC	82139891	23485123	3.50	1.57	   	.gamma.-Linolenic acid, methyl ester	
16	24.841	24.767	24.903	TIC	28173410	8163144	3.45	0.54	   	Methyl eicosa-5,8,11,14,17-pentaenoate	
17	29.276	29.181	29.404	TIC	524765730	130991047	4.01	10.05	   	5,8,11,14,17-Eicosapentaenoic acid, methyl ester, (all-Z)-	

